person_id,name,team_id,team,team_abbreviation,position,rank,avg_speed,speed_runs,sprints,total_distance
523177,Terry Yegbe,285023_43860,Ghana,GHA,,2208,0.0,0.0,0.0,0.0
419228,Thabo Moloisane,285023_43883,South Africa,RSA,,2212,0.0,0.0,0.0,0.0
395047,Thapelo Morena,285023_43883,South Africa,RSA,,2215,0.0,0.0,0.0,0.0
482521,Theo Bair,285023_43899,Canada,CAN,,2218,0.0,0.0,0.0,0.0
418975,Thiago Almada,285023_43922,Argentina,ARG,fw,2221,5.86,362.0,137.0,31810.05
289964,Thiago Silva,285023_43924,Brazil,BRA,,2222,0.0,0.0,0.0,0.0
485100,Thierno Ballo,285023_43934,Austria,AUT,,2224,0.0,0.0,0.0,0.0
378834,Thorgan Hazard,285023_43935,Belgium,BEL,,2227,0.0,0.0,0.0,0.0
523316,Tiago Gabriel,285023_43963,Portugal,POR,,2228,0.0,0.0,0.0,0.0
489698,Tiago Palacios,285023_43930,Uruguay,URU,,2229,0.0,0.0,0.0,0.0
385943,Tim Kleindienst,285023_43948,Germany,GER,,2231,0.0,0.0,0.0,0.0
331463,Tim Payne,285023_43978,New Zealand,NZL,df,2232,6.23,309.0,105.0,25040.85
465655,Timothy Tillman,285023_43921,USA,USA,,2236,0.0,0.0,0.0,0.0
489731,Tino Livramento,285023_43942,England,ENG,df,2238,0.0,0.0,0.0,0.0
505988,Tobias Guddal,285023_43961,Norway,NOR,,2239,0.0,0.0,0.0,0.0
483277,Tobias Lawal,285023_43934,Austria,AUT,,2240,0.0,0.0,0.0,0.0
498415,Tom Bischof,285023_43948,Germany,GER,,2241,0.0,0.0,0.0,0.0
430433,Tom Glover,285023_43976,Australia,AUS,,2242,0.0,0.0,0.0,0.0
517579,Toma Basic,285023_43938,Croatia,CRO,,2243,0.0,0.0,0.0,0.0
494895,Tomas Aranda,285023_43922,Argentina,ARG,,2244,0.0,0.0,0.0,0.0
514335,Tomas Ladra,285023_43995,Czechia,CZE,,2248,0.0,0.0,0.0,0.0
486079,Tomas Vlcek,285023_43995,Czechia,CZE,,2251,0.0,0.0,0.0,0.0
486462,Tommy Conway,285023_43967,Scotland,SCO,,2252,0.0,0.0,0.0,0.0
506472,Tommy St Jago,285023_1895293,Curaçao,CUW,,2253,0.0,0.0,0.0,0.0
511711,Tomoya Ando,285023_43819,Japan,JPN,,2255,0.0,0.0,0.0,0.0
430711,Toni Martinez,285023_43969,Spain,ESP,,2257,0.0,0.0,0.0,0.0
522762,Toni Silic,285023_43938,Croatia,CRO,,2258,0.0,0.0,0.0,0.0
390761,Trent Alexander Arnold,285023_43942,England,ENG,,2260,0.0,0.0,0.0,0.0
363863,Trezeguet,285023_43855,Egypt,EGY,fw,2263,5.53,331.0,136.0,23437.67
513162,Tristan Blackmon,285023_43921,USA,USA,,2264,0.0,0.0,0.0,0.0
504770,Tylon Smith,285023_43883,South Africa,RSA,,2270,0.0,0.0,0.0,0.0
