person_id,name,team_id,team,team_abbreviation,position,rank,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides
448363,Hannes Delcroix,285023_43908,Haiti,HAI,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
448051,Luis Chavez,285023_43911,Mexico,MEX,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
405175,Seko Fofana,285023_43854,Côte d'Ivoire,CIV,MF,535,1.0,0.0,1.0,0.0,0.0,0.0
433872,Raphinha,285023_43924,Brazil,BRA,FW,535,1.0,2.0,0.0,0.0,0.0,2.0
485595,Giuliano Simeone,285023_43922,Argentina,ARG,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
394500,Johan Mojica,285023_43926,Colombia,COL,DF,535,1.0,7.0,1.0,0.0,0.0,1.0
500038,Mateo Chavez,285023_43911,Mexico,MEX,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
335658,Alex Sandro,285023_43924,Brazil,BRA,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
389485,Exequiel Palacios,285023_43922,Argentina,ARG,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
463489,Yaimar Medina,285023_43927,Ecuador,ECU,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
514336,Armando Gonzalez,285023_43911,Mexico,MEX,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
419005,Jordy Alcivar,285023_43927,Ecuador,ECU,MF,535,1.0,0.0,1.0,0.0,0.0,0.0
271116,Alberto Quintero,285023_43914,Panama,PAN,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
419068,Giovanni Reyna,285023_43921,USA,USA,MF,535,1.0,2.0,0.0,0.0,0.0,0.0
463127,Gabriel Avalos,285023_43928,Paraguay,PAR,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
395414,Giovani Lo Celso,285023_43922,Argentina,ARG,MF,535,1.0,1.0,0.0,0.0,0.0,1.0
419126,Darwin Nunez,285023_43930,Uruguay,URU,FW,535,1.0,1.0,0.0,0.0,0.0,2.0
441623,Manuel Ugarte,285023_43930,Uruguay,URU,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
419077,Mark Mckenzie,285023_43921,USA,USA,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
448159,Wout Weghorst,285023_43960,Netherlands,NED,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
402884,Federico Valverde,285023_43930,Uruguay,URU,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
385030,Fidel Escobar,285023_43914,Panama,PAN,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
485070,Raul Rangel,285023_43911,Mexico,MEX,GK,535,1.0,0.0,0.0,0.0,0.0,0.0
390278,Alex Zendejas,285023_43921,USA,USA,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
411678,Ayoub El Kaabi,285023_43872,Morocco,MAR,FW,535,1.0,1.0,0.0,0.0,0.0,3.0
483182,Hossam Abdelmaguid,285023_43855,Egypt,EGY,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
430759,Santiago Gimenez,285023_43911,Mexico,MEX,FW,535,1.0,3.0,0.0,0.0,0.0,0.0
466669,Azarias Londono,285023_43914,Panama,PAN,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
463465,Joel Ordonez,285023_43927,Ecuador,ECU,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
441239,Jorge Gutierrez,285023_43914,Panama,PAN,DF,535,1.0,2.0,0.0,0.0,0.0,0.0
385031,Amir Murillo,285023_43914,Panama,PAN,DF,535,1.0,7.0,0.0,0.0,0.0,1.0
464542,Alex Freeman,285023_43921,USA,USA,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
477856,Jovane Cabral,285023_43850,Cabo Verde,CPV,MF,535,1.0,2.0,0.0,0.0,0.0,0.0
419134,Juan Manuel Sanabria,285023_43930,Uruguay,URU,MF,535,1.0,0.0,1.0,0.0,0.0,1.0
430609,Matheus Cunha,285023_43924,Brazil,BRA,FW,535,1.0,3.0,0.0,0.0,0.0,1.0
495054,Jose Manuel Lopez,285023_43922,Argentina,ARG,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
430601,Gabriel Magalhaes,285023_43924,Brazil,BRA,DF,535,1.0,3.0,0.0,0.0,0.0,0.0
430763,Luis Romo,285023_43911,Mexico,MEX,MF,535,1.0,3.0,0.0,0.0,0.0,0.0
315614,Santiago Arias,285023_43926,Colombia,COL,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
476348,Damian Bobadilla,285023_43928,Paraguay,PAR,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
485802,Alex Arce,285023_43928,Paraguay,PAR,FW,535,1.0,0.0,1.0,0.0,0.0,0.0
390267,Christian Pulisic,285023_43921,USA,USA,FW,535,1.0,6.0,0.0,0.0,0.0,2.0
369768,Antonio Sanabria,285023_43928,Paraguay,PAR,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
482774,Martin Baturina,285023_43938,Croatia,CRO,MF,535,1.0,14.0,0.0,0.0,0.0,0.0
464457,Ali Jasim,285023_43818,Iraq,IRQ,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
359634,Grant Hanley,285023_43967,Scotland,SCO,DF,535,1.0,0.0,0.0,0.0,0.0,1.0
499102,Saleem Obaid,285023_43820,Jordan,JOR,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
400511,Kou Itakura,285023_43819,Japan,JPN,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
431212,Ali Olwan,285023_43820,Jordan,JOR,FW,535,1.0,4.0,0.0,0.0,0.0,1.0
405527,Ayumu Seko,285023_43819,Japan,JPN,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
419459,Mahmoud Abunada,285023_43834,Qatar,QAT,GK,535,1.0,1.0,1.0,0.0,0.0,0.0
430698,Houssem Aouar,285023_43843,Algeria,ALG,MF,535,1.0,2.0,0.0,0.0,0.0,0.0
434026,Zidane Iqbal,285023_43818,Iraq,IRQ,MF,535,1.0,2.0,0.0,0.0,0.0,0.0
390525,Lee Jaesung,285023_43822,Korea Republic,KOR,MF,535,1.0,4.0,0.0,0.0,0.0,1.0
284190,Hassan Alhaydos,285023_43834,Qatar,QAT,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
355642,Ryan Mendes,285023_43850,Cabo Verde,CPV,FW,535,1.0,2.0,0.0,0.0,0.0,2.0
405877,Amine Gouiri,285023_43843,Algeria,ALG,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
436628,Ali Alhamadi,285023_43818,Iraq,IRQ,FW,535,1.0,5.0,0.0,0.0,0.0,0.0
506069,Kevin Yakob,285023_43818,Iraq,IRQ,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
416051,Pedro Miguel,285023_43834,Qatar,QAT,DF,535,1.0,7.0,0.0,0.0,0.0,0.0
477859,Fiston Mayele,285023_20014,Congo DR,COD,FW,535,1.0,1.0,0.0,0.0,0.0,1.0
494800,Sultan Mandash,285023_43835,Saudi Arabia,KSA,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
430518,Nawaf Bu Washl,285023_43835,Saudi Arabia,KSA,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
419463,Yusuf Abdurisag,285023_43834,Qatar,QAT,FW,535,1.0,2.0,0.0,0.0,0.0,0.0
479553,Hussein Ali,285023_43818,Iraq,IRQ,DF,535,1.0,0.0,0.0,0.0,0.0,1.0
434029,Ali Yousif,285023_43818,Iraq,IRQ,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
356532,Chancel Mbemba,285023_20014,Congo DR,COD,DF,535,1.0,2.0,1.0,0.0,0.0,0.0
395084,Hwang Inbeom,285023_43822,Korea Republic,KOR,MF,535,1.0,1.0,0.0,0.0,0.0,0.0
429608,Seol Youngwoo,285023_43822,Korea Republic,KOR,DF,535,1.0,2.0,0.0,0.0,0.0,4.0
379942,Riyad Mahrez,285023_43843,Algeria,ALG,FW,535,1.0,7.0,0.0,0.0,0.0,1.0
419436,Ahmed Alganehi,285023_43834,Qatar,QAT,MF,535,1.0,0.0,0.0,0.0,0.0,0.0
433527,Abdallah Nasib,285023_43820,Jordan,JOR,DF,535,1.0,1.0,0.0,0.0,0.0,0.0
498514,Ali Azaizeh,285023_43820,Jordan,JOR,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
510991,Ayoub Aloui,285023_43834,Qatar,QAT,DF,535,1.0,0.0,0.0,0.0,0.0,0.0
477835,Simon Banza,285023_20014,Congo DR,COD,FW,535,1.0,0.0,0.0,0.0,0.0,0.0
416989,Ali Alipour,285023_43817,IR Iran,IRN,FW,535,1.0,1.0,0.0,0.0,0.0,0.0
395083,Hwang Heechan,285023_43822,Korea Republic,KOR,MF,535,1.0,2.0,0.0,0.0,0.0,0.0
396158,Rebin Sulaka,285023_43818,Iraq,IRQ,DF,535,1.0,0.0,0.0,1.0,0.0,0.0
426357,Aaron Wan Bissaka,285023_20014,Congo DR,COD,DF,535,1.0,1.0,0.0,0.0,0.0,1.0
