match_id,team_id,is_home,possession_pct,expected_goals,big_chances,big_chances_missed,shots_total,shots_on_target,shots_off_target,shots_blocked,shots_inside_box,shots_outside_box,hit_woodwork,corners,offsides,fouls,yellow_cards,passes_total,passes_accurate,passes_final_third,long_balls_total,long_balls_accurate,crosses_total,crosses_accurate,tackles,interceptions,clearances,saves,ground_duels_won,ground_duels_total,aerial_duels_won,aerial_duels_total,dribbles_completed,dribbles_total,throw_ins,goal_kicks,free_kicks
36,24,True,38,0.05,0.0,0.0,2,0,1,1,1,1,0,3,1.0,8,,353,284,59,56,16,10,2,18,14,23,1,34,63,5,18,2,6,29,4,15
36,22,False,62,2.07,3.0,1.0,11,5,3,3,8,3,0,5,1.0,15,,581,520,69,32,19,11,2,18,6,25,0,29,63,13,18,4,15,23,5,8
164,9,True,34,2.75,5.0,4.0,14,4,6,4,10,4,1,5,1.0,7,1.0,330,279,47,40,18,16,1,23,11,21,3,39,70,4,15,10,17,13,4,4
164,36,False,66,0.84,3.0,2.0,9,5,3,1,7,2,0,5,1.0,6,0.0,679,617,74,49,24,13,1,14,6,17,4,31,70,11,15,11,19,14,8,7
162,5,True,45,0.86,1.0,1.0,10,3,4,3,6,4,0,11,2.0,24,4.0,358,272,57,31,12,29,8,18,5,10,1,36,75,16,36,4,10,24,1,14
162,10,False,55,0.78,3.0,1.0,5,4,1,0,3,2,1,1,3.0,14,4.0,472,389,37,49,17,5,1,12,8,51,3,39,75,20,36,6,14,23,3,24
163,14,True,24,0.15,0.0,0.0,5,1,3,1,1,4,0,2,,13,0.0,183,99,42,55,12,4,0,29,14,22,4,43,83,6,22,3,12,19,12,11
163,33,False,76,1.36,2.0,1.0,15,5,6,4,5,10,0,12,,11,3.0,568,510,87,42,26,23,1,14,10,27,1,40,83,16,22,14,28,17,7,12
61,36,True,43,1.69,4.0,3.0,10,4,3,3,6,4,0,4,1.0,9,1.0,420,344,41,41,18,9,3,17,13,16,5,35,67,7,20,7,14,23,8,10
61,33,False,57,1.31,3.0,2.0,18,9,6,3,10,8,1,5,2.0,11,1.0,557,480,58,52,28,9,3,18,11,18,3,32,67,13,20,7,17,12,5,9
68,46,True,53,0.42,0.0,0.0,8,4,2,2,3,5,1,3,1.0,9,1.0,523,478,47,37,16,15,3,14,4,23,0,33,61,7,15,6,12,16,7,13
68,47,False,47,0.73,2.0,1.0,6,1,3,2,3,3,0,2,2.0,13,1.0,455,402,60,40,18,12,3,13,10,10,2,28,61,8,15,6,16,10,5,9
67,48,True,33,0.59,0.0,0.0,13,2,8,3,8,5,0,3,4.0,16,2.0,267,201,39,54,24,9,3,16,6,36,4,32,76,11,28,6,15,24,12,13
67,45,False,67,1.4,4.0,2.0,17,6,8,3,12,5,0,7,4.0,13,1.0,557,492,68,36,20,25,4,18,5,21,2,44,76,17,28,10,18,14,8,16
69,42,True,55,1.63,2.0,2.0,24,6,11,7,15,9,0,5,3.0,12,1.0,545,485,53,45,24,10,3,14,5,17,2,23,52,5,13,4,5,10,14,6
69,41,False,45,0.7,1.0,1.0,13,2,7,4,5,8,0,2,2.0,6,0.0,445,405,50,29,19,14,2,8,11,22,6,29,52,8,13,9,16,9,9,12
70,44,True,58,2.35,3.0,1.0,19,4,14,1,11,8,0,2,3.0,6,3.0,487,401,63,59,28,21,5,20,7,25,1,46,87,12,34,11,23,26,7,15
70,43,False,42,0.2,0.0,0.0,3,1,2,0,2,1,0,4,1.0,16,2.0,355,269,51,59,21,16,2,29,12,38,1,41,87,22,34,6,16,23,15,6
53,4,True,52,0.47,0.0,0.0,13,1,8,4,6,7,0,5,1.0,9,0.0,398,332,44,52,20,26,5,12,3,19,2,28,53,12,21,4,11,20,11,13
53,1,False,48,1.79,5.0,2.0,11,5,4,2,9,2,0,1,0.0,13,1.0,388,331,49,57,36,13,1,12,7,29,1,25,53,9,21,4,7,20,11,9
71,40,True,27,0.74,1.0,0.0,5,1,2,2,2,3,0,2,1.0,13,3.0,285,228,36,37,15,7,2,16,19,13,1,32,61,2,5,9,16,11,9,7
71,37,False,73,2.13,3.0,2.0,12,4,7,1,6,6,2,6,3.0,7,0.0,800,736,60,25,15,5,3,14,12,11,0,29,61,3,5,3,9,19,4,12
54,2,True,32,1.1,1.0,1.0,13,4,5,4,5,8,0,4,3.0,7,1.0,339,277,39,55,19,8,1,11,15,42,2,26,51,16,36,6,12,8,12,9
54,3,False,68,1.0,1.0,1.0,8,3,4,1,5,3,0,6,0.0,9,1.0,720,643,81,55,31,33,7,11,4,15,3,25,51,20,36,7,13,24,5,7
72,38,True,65,1.62,3.0,1.0,12,5,5,2,6,6,1,0,1.0,3,0.0,755,706,64,43,25,5,0,12,3,17,0,30,44,4,13,12,19,16,9,7
72,39,False,35,1.44,2.0,0.0,10,3,6,1,6,4,0,3,3.0,7,1.0,397,346,39,33,14,13,3,10,10,19,2,14,44,9,13,1,5,10,6,3
62,34,True,69,3.03,5.0,3.0,28,12,11,5,17,11,1,12,1.0,10,2.0,590,518,95,43,23,25,7,12,2,10,1,30,67,19,31,8,24,26,4,11
62,35,False,31,0.18,0.0,0.0,6,1,1,4,1,5,0,3,0.0,11,2.0,265,184,32,69,15,6,0,20,7,35,7,37,66,12,31,8,13,16,20,10
49,8,True,55,1.06,3.0,2.0,6,4,1,1,5,1,0,2,1.0,19,1.0,441,367,48,46,18,6,1,15,5,43,6,33,66,16,28,5,7,25,13,13
49,5,False,45,1.34,2.0,1.0,13,7,3,3,12,1,0,7,3.0,13,2.0,339,271,60,43,20,26,6,9,13,19,2,33,66,12,28,5,10,27,5,19
66,28,True,45,0.25,0.0,0.0,6,2,3,1,3,3,0,5,1.0,10,2.0,435,369,37,38,16,17,2,10,6,34,5,24,54,6,14,8,12,17,10,7
66,25,False,55,3.65,4.0,2.0,35,10,13,12,23,12,1,8,1.0,7,0.0,526,463,50,47,29,16,6,13,10,26,1,30,54,8,14,7,11,15,3,10
65,26,True,61,0.81,0.0,0.0,15,3,6,6,8,7,0,8,0.0,11,3.0,587,512,60,44,18,15,4,16,7,40,3,40,81,21,50,10,20,14,9,16
65,27,False,39,1.83,3.0,2.0,12,4,6,2,9,3,1,2,3.0,16,4.0,367,281,58,66,29,10,1,23,8,32,2,41,81,29,50,8,15,15,10,10
50,6,True,54,0.64,1.0,1.0,14,5,4,5,4,10,1,5,1.0,9,1.0,515,452,45,50,30,22,3,10,4,22,2,32,56,10,14,8,13,12,8,14
50,7,False,46,0.77,3.0,2.0,9,3,6,0,5,4,1,5,3.0,14,1.0,434,371,47,52,16,17,5,13,4,24,3,24,56,4,14,3,7,18,9,9
51,12,True,46,1.13,2.0,2.0,14,5,6,3,10,4,0,7,0.0,10,1.0,499,448,58,34,17,23,10,11,2,13,5,23,58,5,19,2,9,16,11,11
51,9,False,54,4.46,6.0,3.0,21,9,7,5,14,7,0,6,1.0,11,2.0,606,564,68,27,12,12,2,14,13,24,5,35,58,14,19,11,16,10,4,10
52,10,True,69,3.26,4.0,1.0,22,11,6,5,15,7,0,9,5.0,10,0.0,542,479,43,36,20,22,7,18,7,14,1,52,96,12,22,16,28,25,3,18
52,11,False,31,0.66,1.0,0.0,9,2,4,3,4,5,0,1,0.0,18,3.0,248,198,25,43,20,3,2,25,14,26,8,44,96,10,22,9,17,15,8,10
60,16,True,47,2.71,3.0,1.0,9,4,3,2,8,1,0,2,2.0,13,0.0,435,333,41,66,23,11,0,31,7,23,5,51,83,13,24,9,14,28,6,13
60,13,False,53,2.06,4.0,3.0,18,7,6,5,15,3,1,9,5.0,13,1.0,471,399,57,43,17,18,5,14,11,25,1,32,83,11,24,5,14,31,4,13
59,14,True,44,0.25,,,7,2,4,1,3,4,0,1,,9,1.0,427,330,57,58,14,7,0,24,8,24,5,35,72,20,45,5,17,26,9,6
59,15,False,56,0.58,,,12,5,4,3,7,5,0,3,,6,1.0,536,439,56,57,18,13,4,19,7,10,2,37,72,25,45,10,23,28,9,9
55,20,True,39,1.27,2.0,1.0,7,3,2,2,5,2,0,3,,15,3.0,378,312,66,50,24,13,3,26,12,30,2,45,86,9,20,9,19,18,5,10
55,17,False,61,0.65,2.0,1.0,11,3,3,5,6,5,0,2,,10,1.0,592,517,77,37,17,16,5,20,4,15,1,41,86,11,20,7,22,21,2,15
56,18,True,37,0.47,0.0,0.0,11,2,7,2,6,5,0,4,2.0,11,2.0,354,295,33,30,14,15,5,20,15,17,1,38,76,9,16,12,18,19,5,6
56,19,False,63,1.3,3.0,1.0,7,3,3,1,5,2,0,6,1.0,6,1.0,623,558,41,39,21,16,3,17,12,19,2,38,76,7,16,10,18,20,6,11
58,22,True,52,1.31,2.0,1.0,8,3,3,2,4,4,0,2,3.0,20,1.0,446,379,51,51,20,13,4,13,4,40,4,30,58,16,29,6,10,14,6,11
58,23,False,48,0.61,1.0,1.0,11,5,3,3,6,5,1,8,2.0,11,2.0,395,312,51,50,18,16,4,6,5,21,2,28,58,13,29,4,10,18,4,20
57,24,True,28,0.43,2.0,1.0,10,4,5,1,4,6,0,4,2.0,11,,257,199,39,47,20,13,4,16,8,35,4,27,51,9,22,2,10,12,10,10
57,21,False,72,1.68,2.0,1.0,20,7,8,5,16,4,1,6,1.0,10,,649,600,112,23,15,28,7,9,10,12,3,24,51,13,22,4,13,14,6,11
150,19,True,47,1.36,3.0,2.0,14,5,9,1,10,4,0,14,2.0,6,0.0,401,339,38,38,17,29,7,24,4,11,1,38,63,11,27,7,20,16,3,7
150,36,False,53,2.02,4.0,3.0,9,4,2,3,8,1,0,3,2.0,7,1.0,473,415,48,33,17,10,5,19,6,37,4,25,63,16,27,3,20,23,12,6
166,41,True,45,0.6,1.0,1.0,10,2,5,3,7,3,1,3,2.0,9,2.0,426,357,61,53,24,13,4,14,7,23,5,35,67,9,12,9,23,20,6,13
